KATL,Hartsfield-Jackson Atlanta International Airport,US,33.3812,84.2541,6687827,3776
ZBAA,Beijing Capital International Airport,CN,40.0448,-116.3502,29676830,3810
OMDB,Dubai International Airport,AE,25.151,-55.2152,3143568,4000
KLAX,Los Angeles International Airport,US,33.5633,118.2429,23033432,3939
RJTT,Haneda Airport,JP,35.3312,-139.4652,60399940,3360
KORD,O'Hare International Airport,US,41.5843,87.5417,14910542,3962
EGLL,Heathrow Airport,GB,51.2839,0.2741,20248752,3902
VHHH,Hong Kong International Airport,HK,22.1832,-113.545,13529406,3800
ZSPD,Shanghai Pudong International Airport,CN,31.0836,-121.4818,47811500,4000
LFPG,Charles de Gaulle Airport,FR,49.0035,-2.3252,18789760,4215
EHAM,Amsterdam Airport Schiphol,NL,52.1843,-4.48,11696699,3800
VIDP,Indira Gandhi International Airport,IN,28.3407,-77.0644,45404300,3810
ZGGG,Guangzhou Baiyun International Airport,CN,23.2333,-113.1756,37697368,3600
EDDF,Frankfurt Airport,DE,50.02,-8.3414,9174078,4000
KDFW,Dallas/Fort Worth International Airport,US,32.5349,97.0332,8591077,4085
RKSI,Incheon International Airport,KR,37.2748,-126.2624,10474141,3750
LTBA,Istanbul Atatürk Airport,TR,40.5834,-28.4851,7049903,3000
WIII,Soekarno-Hatta International Airport,ID,-6.0732,-106.3922,25596500,3660
WSSS,Singapore Changi Airport,SG,1.2133,-103.592,24028536,4000
KDEN,Denver International Airport,US,39.5142,104.4023,2399480,3658
VTBS,Suvarnabhumi Airport,TH,13.4133,-100.45,18135872,4000
KJFK,John F. Kennedy International Airport,US,40.3823,73.4644,17710918,4423
WMKK,Kuala Lumpur International Airport,MY,2.4436,-101.4153,448638,4124
LEMD,Adolfo Suárez Madrid–Barajas Airport,ES,40.282,3.3339,10104003,4100
KSFO,San Francisco International Airport,US,37.3708,122.223,11547351,3618
ZUUU,Chengdu Shuangliu International Airport,CN,30.3442,-103.5649,7134696,3600
LEBL,Barcelona-El Prat Airport,ES,41.1749,-2.0442,11628169,3552
VABB,Chhatrapati Shivaji International Airport,IN,19.0519,-72.5205,41088836,3660
KSEA,Seattle-Tacoma International Airport,US,47.2656,122.1832,6469976,3627
KLAS,McCarran International Airport,US,36.0448,115.0907,2697127,4423
CYYZ,Toronto Pearson International Airport,CA,43.4036,79.375,11691915,3368
ZGSZ,Shenzhen Bao'an International Airport,CN,22.3822,-113.484,17364624,3400
MMMX,Mexico City International Airport,MX,19.261,99.0419,48191336,3900
KMCO,Orlando International Airport,US,28.2546,81.1832,2740066,3659
ZPPP,Kunming Changshui International Airport,CN,25.0607,-102.5544,5789295,4000
RCTP,Taoyuan International Airport,TW,25.0435,-121.1326,10492561,3660
KCLT,Charlotte Douglas International Airport,US,35.125,80.5635,2405855,3048
EDDM,Munich Airport,DE,48.2114,-11.471,5368463,4000
EGKK,Gatwick Airport,GB,51.0853,0.1125,16335061,3316
KEWR,Newark Liberty International Airport,US,40.4133,74.1007,30172802,3353
UUEE,Sheremetyevo International Airport,RU,55.5822,-37.2453,25555470,3700
RPLL,Ninoy Aquino International Airport,PH,14.3031,-121.0108,43359612,3737
KMIA,Miami International Airport,US,25.4736,80.1726,5747967,3967
KPHX,Phoenix Sky Harbor International Airport,US,33.2603,112.0043,6050747,3502
ZLXY,Xi'an Xianyang International Airport,CN,34.2649,-108.4504,8628365,3000
YSSY,Sydney Airport,AU,-33.5646,-151.1037,8055244,3962
KIAH,George Bush Intercontinental Airport,US,29.5904,95.2029,7244837,3658
ZSSS,Shanghai Hongqiao International Airport,CN,31.1153,-121.1919,33009452,3400
LIRF,Leonardo da Vinci-Fiumicino Airport,IT,41.4801,-12.142,3234738,3800
SBGR,SÃ£o Paulo-Guarulhos International Airport,BR,-23.2608,46.2823,21946476,3000
RJAA,Narita International Airport,JP,35.4555,-140.231,28364136,4000
ZUCK,Chongqing Jiangbei International Airport,CN,29.4309,-106.3831,11603463,3200
OEJN,King Abdulaziz International Airport,SA,21.4046,-39.0924,228188,4000
VTBD,Don Mueang International Airport,TH,13.5445,-100.3625,20166434,3700
VVTS,Tan Son Nhat International Airport,VN,10.4908,-106.3907,9150428,3050
KBOS,Logan International Airport,US,42.2147,71.0023,8154626,3073
